COUNTRY_code,Country,SEO,Socio economic objective,MEASURE_id,Measure,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period,Value,Flag Codes,Flags
AUS,Australia,NABS14,Defence,MIO_NAC,National Currency,2010,AUD,Australian Dollar,6,Millions,,454.014,D,Difference in methodology
AUS,Australia,NABS14,Defence,MIO_NAC,National Currency,2011,AUD,Australian Dollar,6,Millions,,485.324,D,Difference in methodology
AUS,Australia,NABS14,Defence,MIO_NAC,National Currency,2012,AUD,Australian Dollar,6,Millions,,458.942,D,Difference in methodology
AUS,Australia,NABS14,Defence,MIO_NAC,National Currency,2013,AUD,Australian Dollar,6,Millions,,447.731,D,Difference in methodology
AUS,Australia,NABS14,Defence,MIO_NAC,National Currency,2014,AUD,Australian Dollar,6,Millions,,458.817,D,Difference in methodology
AUS,Australia,NABS14,Defence,MIO_NAC,National Currency,2015,AUD,Australian Dollar,6,Millions,,524.838,D,Difference in methodology
AUS,Australia,NABS14,Defence,MIO_NAC,National Currency,2016,AUD,Australian Dollar,6,Millions,,469.965,D,Difference in methodology
AUS,Australia,NABS14,Defence,MIO_NAC,National Currency,2017,AUD,Australian Dollar,6,Millions,,518.111,D; P,Difference in methodology; Provisional value
AUS,Australia,NABS14,Defence,MIO_NAC,National Currency,2018,AUD,Australian Dollar,6,Millions,,469.475,D; P,Difference in methodology; Provisional value
AUS,Australia,NABS12,General advancement of knowledge: R&D financed from General University Funds (GUF),MIO_NAC,National Currency,2010,AUD,Australian Dollar,6,Millions,,1661.433,D,Difference in methodology
AUS,Australia,NABS12,General advancement of knowledge: R&D financed from General University Funds (GUF),MIO_NAC,National Currency,2011,AUD,Australian Dollar,6,Millions,,1774.615,D,Difference in methodology
AUS,Australia,NABS12,General advancement of knowledge: R&D financed from General University Funds (GUF),MIO_NAC,National Currency,2012,AUD,Australian Dollar,6,Millions,,1807.464,D,Difference in methodology
AUS,Australia,NABS12,General advancement of knowledge: R&D financed from General University Funds (GUF),MIO_NAC,National Currency,2013,AUD,Australian Dollar,6,Millions,,1874.46,D,Difference in methodology
AUS,Australia,NABS12,General advancement of knowledge: R&D financed from General University Funds (GUF),MIO_NAC,National Currency,2014,AUD,Australian Dollar,6,Millions,,1947.269,D,Difference in methodology
AUS,Australia,NABS12,General advancement of knowledge: R&D financed from General University Funds (GUF),MIO_NAC,National Currency,2015,AUD,Australian Dollar,6,Millions,,2022.283,D,Difference in methodology
AUS,Australia,NABS12,General advancement of knowledge: R&D financed from General University Funds (GUF),MIO_NAC,National Currency,2016,AUD,Australian Dollar,6,Millions,,1978.077,D,Difference in methodology
AUS,Australia,NABS12,General advancement of knowledge: R&D financed from General University Funds (GUF),MIO_NAC,National Currency,2017,AUD,Australian Dollar,6,Millions,,2141.552,D; P,Difference in methodology; Provisional value
AUS,Australia,NABS12,General advancement of knowledge: R&D financed from General University Funds (GUF),MIO_NAC,National Currency,2018,AUD,Australian Dollar,6,Millions,,2141.989,D; P,Difference in methodology; Provisional value
AUS,Australia,NABS13,General advancement of knowledge: R&D financed from sources other than GUF,MIO_NAC,National Currency,2010,AUD,Australian Dollar,6,Millions,,542.743,D,Difference in methodology
AUS,Australia,NABS13,General advancement of knowledge: R&D financed from sources other than GUF,MIO_NAC,National Currency,2011,AUD,Australian Dollar,6,Millions,,572.972,D,Difference in methodology
AUS,Australia,NABS13,General advancement of knowledge: R&D financed from sources other than GUF,MIO_NAC,National Currency,2012,AUD,Australian Dollar,6,Millions,,572.156,D,Difference in methodology
AUS,Australia,NABS13,General advancement of knowledge: R&D financed from sources other than GUF,MIO_NAC,National Currency,2013,AUD,Australian Dollar,6,Millions,,609.549,D,Difference in methodology
AUS,Australia,NABS13,General advancement of knowledge: R&D financed from sources other than GUF,MIO_NAC,National Currency,2014,AUD,Australian Dollar,6,Millions,,589.719,D,Difference in methodology
