"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Euro area","EMU","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2133.14502012923","2095.35975268358","2177.22464438748","2231.82582242466","2377.64306293486","2401.41136310819","2492.74824555547","2494.89442395392","2724.958913503","2756.10075522949","2875.61190705582","2988.45372389513","3168.14078400991","3244.66671817087","3354.64964301872","3390.65792482885","3507.90194873062","3542.88127134382","3583.45933546018","3766.87989816792","3704.73969826375","","",
"Eritrea","ERI","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1290.52416992188","1342.65893554688","1495.78173828125","1518.7080078125","1874.39477539063","1934.68310546875","1984.44128417969","2169.17504882813","2329.654296875","2491.2294921875","2589.08935546875","2701.3369140625","2847.6640625","2878.97387695313","2877.90014648438","2776.32250976563","2705.6025390625","2638.78247070313","2627.48461914063","2638.861328125","2732.24633789063","","",
"Estonia","EST","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2117.53833007813","2138.498046875","1905.49438476563","1926.38073730469","2212.28686523438","2197.52368164063","2470.72924804688","2457.12744140625","2603.578125","2745.388671875","2970.04125976563","3229.45288085938","3060.57641601563","3395.68920898438","3458.28540039063","3334.6953125","3279.07641601563","3183.25341796875","3305.28881835938","","",
"Ethiopia","ETH","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.9573993682861","","19.9381694793701","","","42.1994018554688","","","44.9660186767578","","","","","",
"European Union","EUU","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2031.04852718855","2050.55327923464","2066.34175187105","2180.24145311577","2216.59718197991","2335.27933916474","2397.67835065882","2496.05807343412","2684.73133448173","2782.49984371506","2868.3065764839","2929.55507818414","3072.21635578109","3124.91313228247","3210.6113757401","3226.54246457082","3329.34342426997","3418.52395913992","3489.28934251715","3639.18644006263","3748.60077610459","","",
"Fragile and conflict affected situations","FCS","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7821.8388671875","7526.63037109375","7657.1064453125","7361.158203125","7684.15380859375","7645.78759765625","7720.2236328125","7422.67822265625","7476.177734375","7209.66845703125","7011.46240234375","6843.49365234375","6525.01171875","","",
"Fiji","FJI","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"France","FRA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2646.62939453125","2633.31274414063","2637.88012695313","2704.560546875","2886.68334960938","2960.5791015625","3095.38842773438","3183.9736328125","3323.83764648438","3307.1025390625","3419.08154296875","3580.49780273438","3652.8173828125","3738.6396484375","3863.966796875","3934.83618164063","4068.40844726563","4153.10009765625","4233.83056640625","4307.22216796875","","","",
